2016-04-27,15:40,Punchestown,Wish Ye Didnt
2016-04-27,15:40,Punchestown,Be Positive
2016-04-27,15:40,Punchestown,Need To Know
2016-04-27,15:40,Punchestown,Mias Milan
2016-04-27,15:40,Punchestown,Just Wait And See
2016-04-27,15:40,Punchestown,Kansascity Shuffle
2016-04-26,16:5,Brighton,Strictly Carter
2016-04-26,16:5,Brighton,Lady Lloyd
2016-04-26,16:10,Nottingham,Hijran
2016-04-26,16:10,Nottingham,Shadow Spirit
2016-04-26,16:20,Punchestown,Charbel
2016-04-26,16:20,Punchestown,Dont Touch It
2016-04-26,16:30,Bath,Apache Song
2016-04-26,16:30,Bath,Emperor Napoleon
2016-04-26,16:30,Bath,Subordinate
2016-04-26,16:30,Bath,Spring Overture
2016-04-26,16:30,Bath,Angel Of Light
